"course","lng","lat","Estblsh","Age_yrs","Mn_prtc","Mn_vlnt"
"higginsonmarlow",-0.779557,51.56626,"2018-08-18",0.6,191.1,24.7
"newark",-0.822129,53.067678,"2013-06-01",5.8,174.6,13.9
"aylesbury",-0.826635,51.830474,"2013-11-02",5.4,142.8,12.7
"aliceholt",-0.839499,51.168614,"2012-11-17",6.3,225.9,21.2
"hogmoorinclosure",-0.875918,51.111669,"2018-03-10",1,149,16.8
"meltonmowbray",-0.878238,52.778801,"2015-01-10",4.2,133.7,14.3
"dintonpastures",-0.88004,51.440278,"2018-07-14",0.7,185.7,21.4
"northampton",-0.888648,52.249113,"2012-05-05",6.9,326.2,18.6
"goole",-0.890649,53.71052,"2015-05-30",3.8,108.2,15.7
"woodley",-0.903239,51.455511,"2012-10-13",6.4,249.6,20.5
"henleyonthames",-0.9193,51.532014,"2017-07-01",1.7,67.8,13.4
"marketharborough",-0.926778,52.475213,"2015-04-25",3.9,252.3,26.2
"reading",-0.933795,51.464007,"2009-09-12",9.5,244.6,15.2
"sixfieldsupton",-0.942206,52.228535,"2018-02-24",1,232.4,30.3
"queenelizabeth",-0.972805,50.955399,"2013-05-18",5.8,79.4,12.8
"buckingham",-0.977526,51.997697,"2014-05-17",4.8,187.5,14.3
"havant",-0.977762,50.877857,"2012-06-16",6.7,200.2,19.2
"prospect",-1.007595,51.448542,"2018-05-05",0.9,180.7,23.2
"heslington",-1.018006,53.949318,"2018-01-13",1.2,302.5,26.4
"clumberpark",-1.058507,53.268396,"2013-06-29",5.7,206.5,16.1
"southsea",-1.064644,50.781954,"2013-10-05",5.4,287.8,14
"newearswick",-1.07776,53.990218,"2018-04-21",0.9,83.2,12.7
"selby",-1.078377,53.751705,"2017-12-16",1.2,137.5,14.6
"redcar",-1.079256,54.613964,"2012-04-28",6.9,129,20.8
"basingstoke",-1.081047,51.2589,"2008-07-05",10.7,277.7,20.4
"portsmouthlakeside",-1.081577,50.840416,"2016-04-30",2.9,209.1,19.2
"sherwoodpines",-1.085311,53.166221,"2015-10-24",3.4,197.6,14.8
"gedling",-1.087081,52.993979,"2015-06-20",3.7,122.9,15.5
"doncaster",-1.0878,53.546051,"2013-09-28",5.5,153.5,13.4
"colwick",-1.095285,52.948638,"2011-06-25",7.7,192.3,16
"york",-1.097646,53.937117,"2012-01-14",7.2,350.1,21.7
"leicestervictoria",-1.121877,52.623522,"2015-11-14",3.3,241.1,22.8
"bicester",-1.146913,51.891047,"2016-04-16",2.9,169.4,18.1
"rushcliffe",-1.149238,52.882818,"2012-10-06",6.4,274.8,18.4
"flattslane",-1.1516525,54.5441465,"2017-09-16",1.5,62.1,13.5
"daventry",-1.153135,52.266844,"2014-11-08",4.3,192.7,22.3
"forestrec",-1.160088,52.965261,"2013-04-06",5.9,169.9,12.9
"clifton",-1.162997,52.907145,"2018-01-13",1.2,56,14.7
"fareham",-1.167426,50.848386,"2016-04-09",2.9,195.7,22.9
"bestwoodvillage",-1.17117,53.022109,"2017-01-28",2.1,86.4,14.1
"braunstone",-1.179818,52.625958,"2010-09-25",8.5,286.6,19.5
"mansfield",-1.182082,53.175126,"2012-09-29",6.5,93.5,14.3
"hartlepool",-1.194077,54.677007,"2014-04-26",4.9,90.6,10.9
"beeston",-1.194677,52.914337,"2014-04-05",4.9,233.8,15.9
"leeonthesolent",-1.203818,50.801094,"2015-07-04",3.7,341.9,32.9
"stewart",-1.204634,54.539933,"2012-07-07",6.7,239.8,20.6
"dishleyloughborough",-1.2349936,52.7878202,"2018-07-28",0.6,288.7,30.2
"albert",-1.235018,54.564834,"2008-05-31",10.8,227.3,17
"rugby",-1.238397,52.373143,"2016-12-10",2.3,187,27.3
"didcot",-1.239956,51.617299,"2015-02-21",4.1,157.4,18.9
"whiteley",-1.247762,50.885518,"2017-04-01",1.9,205.3,23.3
"oxford",-1.259437,51.790515,"2011-11-05",7.4,195.2,11
"abingdon",-1.269221,51.669202,"2011-05-07",7.9,209.8,17.1
"newbury",-1.280959,51.377741,"2012-02-11",7.1,350.6,20.2
"longeaton",-1.2851,52.895341,"2015-06-13",3.7,336.6,19
"medina",-1.287031,50.711841,"2011-05-07",7.9,178.1,27.7
"brierleyforest",-1.294734,53.130461,"2016-09-10",2.5,169.8,20.2
"harcourthill",-1.296172,51.739361,"2014-10-18",4.4,96.9,11.1
"teesbarrage",-1.298704,54.5642,"2012-06-23",6.7,162.2,11.3
"cotsfordfields",-1.300721,54.759476,"2018-06-23",0.7,46.5,11.2
"winchester",-1.309599,51.070277,"2013-04-27",5.9,229.2,20.2
"rothervalley",-1.323423,53.338407,"2013-05-11",5.8,187.8,16.7
"pontefract",-1.332393,53.701331,"2011-05-07",7.9,209.4,15.1
"banbury",-1.332479,52.067715,"2014-09-27",4.5,179.2,19.9
"netleyabbey",-1.339045,50.866266,"2012-03-17",7,192.8,26.4
"rotherham",-1.34428,53.431603,"2013-04-20",5.9,61.4,5.3
"poolsbrook",-1.348507,53.258308,"2016-04-02",2.9,166.6,17.4
"shipleycountry",-1.359858,53.000968,"2017-02-25",2,152.8,25.4
"eastleigh",-1.3737899,50.9677078,"2010-05-08",8.8,183.3,26.1
"nostell",-1.389583,53.652775,"2014-07-26",4.6,180.6,17.8
"wetherby",-1.39219,53.9257,"2015-03-21",4,65.6,11.2
"southshields",-1.394577,54.988646,"2013-04-20",5.9,151.5,12.5
"southampton",-1.410584,50.928304,"2012-07-07",6.7,584,38.8
"sunderland",-1.413331,54.882038,"2009-10-10",9.4,137.1,11
"sheffieldcastle",-1.4326,53.368633,"2013-08-03",5.6,46.8,8.7
"concord",-1.434445,53.426642,"2011-03-19",8,59.5,5.6
"northallerton",-1.435328,54.348382,"2015-08-01",3.6,83.2,14.6
"whitleybay",-1.450624,55.053399,"2012-06-16",6.7,264.8,21.6
"templenewsam",-1.454616,53.781358,"2013-02-02",6.1,157.7,22.1
"graves",-1.466675,53.335742,"2012-04-14",6.9,170.6,15.1
"sedgefield",-1.46852,54.655389,"2012-03-17",7,163.1,16
"bedworth",-1.470312,52.475939,"2018-02-17",1.1,140.8,21.6
"rothwell",-1.471544,53.750941,"2017-07-29",1.6,167.9,21.1
"barnsley",-1.488025,53.542985,"2011-01-22",8.1,137.5,13.3
"roundhay",-1.499355,53.837614,"2011-04-23",7.9,232.3,19
"hillsborough",-1.500578,53.407946,"2013-02-02",6.1,189.8,11.9
"markeaton",-1.505878,52.934582,"2013-04-27",5.9,260.4,20.8
"andover",-1.508431,51.220889,"2011-07-16",7.7,174.7,13.4
"leamington",-1.509418,52.290738,"2011-04-23",7.9,316.7,22.8
"newbigginbythesea",-1.510234,55.18484,"2017-10-14",1.4,101.5,16.4
"wakefieldthornes",-1.510234,53.672917,"2014-09-20",4.5,216.5,23.7
"sheffieldhallam",-1.511006,53.367762,"2010-07-10",8.7,425.3,15.4
"witney",-1.51482,51.791275,"2018-03-10",1,218.3,30.2
"coventry",-1.522121,52.391211,"2010-02-06",9.1,409,19.4
"harrogate",-1.524739,53.991057,"2012-01-21",7.1,296.3,22
"risingsun",-1.5290955,55.019374,"2016-06-04",2.8,290.5,24.5
"conkers",-1.539159,52.733329,"2011-04-16",7.9,302.2,21.7
"lymingtonwoodside",-1.545457,50.748214,"2016-07-09",2.7,106,14.4
"crossflatts",-1.556067,53.773548,"2013-03-30",6,102.4,12.1
"middletonwoods",-1.55707,53.75196,"2018-04-28",0.9,86.2,13.6
"darlingtonsouthpark",-1.557999,54.514916,"2012-12-15",6.2,249.4,20.4
"woodhousemoor",-1.558127,53.810725,"2007-10-06",11.4,294.9,17.9
"durham",-1.56241,54.7753,"2011-08-13",7.6,278.4,24.2
"riverside",-1.563535,54.855194,"2012-07-14",6.7,224.1,19.1
"windynook",-1.567998,54.93968,"2017-12-02",1.3,42.1,10.3
"fountainsabbey",-1.577826,54.112452,"2014-03-01",5,286.4,18.5
"druridgebay",-1.5798,55.293877,"2014-08-09",4.6,157.3,16.7
"armley",-1.5954638,53.8016013,"2018-06-30",0.7,184.8,24.8
"gateshead",-1.604347,54.945571,"2012-02-18",7.1,156.4,16.1
"newcastle",-1.620526,54.989409,"2010-01-16",9.2,387.4,26.6
"bramley",-1.634774,53.813524,"2015-06-13",3.7,164.4,25.7
"rosliston",-1.639334,52.754545,"2016-03-12",3,171.7,29.7
"brockenhurst",-1.642381,50.808308,"2013-05-25",5.8,107.3,13.6
